Dataset,CV_Folds,Method,Replication_ACC,Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Paper_ACC,Paper_AUC,Paper_F1,Paper_AP,Paper_GMean,Status
PSDAS,20,CSRBoost,72.19,0.6391,0.397,0.2544,0.6254,72.85,0.66,0.40,0.25,0.63,OK
PSDAS,20,SMOTified-GAN,61.80,0.8118,0.6439,0.6778,0.3196,64.50,0.82,0.64,0.70,0.32,OK
PSDAS,20,GAN,61.94,0.8105,0.6426,0.6787,0.3198,63.80,0.82,0.64,0.69,0.32,OK
PSDAS,20,ADASYN,75.79,0.6223,0.3783,0.2509,0.5845,76.10,0.64,0.38,0.25,0.58,OK
PSDAS,20,Borderline-SMOTE,75.60,0.6177,0.3711,0.2472,0.5779,76.00,0.62,0.38,0.25,0.59,OK
PSDAS,20,SMOTE-Tomek,75.77,0.6216,0.3776,0.2502,0.5838,76.00,0.61,0.39,0.26,0.59,OK
PSDAS,20,SMOTE-ENN,72.96,0.6507,0.4198,0.2699,0.6398,72.70,0.65,0.42,0.27,0.64,OK
PSDAS,20,AdaBoost,76.11,0.6137,0.3656,0.2458,0.5682,75.70,0.65,0.38,0.25,0.58,OK
PSDAS,20,RUSBoost,,,,,,,,,,,N/A
PSDAS,20,HUE,74.49,0.724,0.4934,0.3209,0.723,74.20,0.71,0.49,0.32,0.74,OK
ESR,20,CSRBoost,91.10,0.891,0.794,0.663,0.890,92.05,0.90,0.80,0.67,0.89,OK
ESR,20,SMOTified-GAN,97.44,0.991,0.934,0.978,0.951,,,,,,OK
ESR,20,GAN,97.43,0.991,0.935,0.978,0.951,,,,,,OK
ESR,20,ADASYN,89.56,0.876,0.764,0.620,0.875,,,,,,OK
ESR,20,Borderline-SMOTE,90.81,0.883,0.785,0.652,0.882,,,,,,OK
ESR,20,SMOTE-Tomek,91.34,0.893,0.799,0.670,0.892,,,,,,OK
ESR,20,SMOTE-ENN,91.43,0.897,0.802,0.674,0.897,,,,,,OK
ESR,20,AdaBoost,93.78,0.898,0.842,0.744,0.895,,,,,,OK
ESR,20,RUSBoost,,,,,,,,,,,N/A
ESR,20,HUE,95.94,0.956,0.904,0.828,0.956,,,,,,OK
DCCC,100,CSRBoost,69.00,0.6358,0.4349,0.2987,0.6282,68.32,0.64,0.42,0.29,0.62,OK
DCCC,100,SMOTified-GAN,81.84,0.917,0.818,0.866,0.883,,,,,,OK
DCCC,100,GAN,81.66,0.917,0.817,0.861,0.882,,,,,,OK
DCCC,100,ADASYN,72.67,0.6243,0.4137,0.2930,0.5952,,,,,,OK
DCCC,100,Borderline-SMOTE,72.67,0.626,0.4191,0.2993,0.5992,,,,,,OK
DCCC,100,SMOTE-Tomek,72.86,0.6248,0.4158,0.2932,0.5885,,,,,,OK
DCCC,100,SMOTE-ENN,68.74,0.6632,0.4673,0.3166,0.6617,,,,,,OK
DCCC,100,AdaBoost,73.24,0.6297,0.4220,0.3034,0.5939,,,,,,OK
DCCC,100,RUSBoost,,,,,,,,,,,N/A
DCCC,100,HUE,69.75,0.6986,0.5061,0.3439,0.6985,,,,,,OK
BCW,100,CSRBoost,92.94,0.9273,0.9065,0.8539,0.9267,94.37,0.94,0.90,0.84,0.92,OK
BCW,100,SMOTified-GAN,91.86,0.9883,0.9078,0.9924,0.8843,,,,,,OK
BCW,100,GAN,89.38,0.9351,0.8933,0.9406,0.8827,,,,,,OK
BCW,100,ADASYN,94.27,0.9494,0.9400,0.8722,0.9488,,,,,,OK
BCW,100,Borderline-SMOTE,93.24,0.9463,0.9280,0.8939,0.9289,,,,,,OK
BCW,100,SMOTE-Tomek,93.15,0.9273,0.9314,0.9296,0.9266,,,,,,OK
BCW,100,SMOTE-ENN,93.23,0.9413,0.9100,0.8780,0.9282,,,,,,OK
